iter	R2	RMSE
194	0.6604967484	0.2080425463
195	0.6608133431	0.2079455214
196	0.6610627835	0.207869045
197	0.6614162731	0.2077606197
198	0.6615377413	0.2077233489
199	0.6616139111	0.2076999739
200	0.6617716515	0.207651558
201	0.6620913287	0.2075534037
202	0.6622769663	0.2074963838
203	0.6624259106	0.2074506233
204	0.662586664	0.2074012232
205	0.6626526745	0.2073809345
206	0.6628708709	0.2073138566
207	0.6630222291	0.2072673134
208	0.6631431288	0.2072301287
209	0.6633421284	0.2071689087
210	0.6635346517	0.2071096637
211	0.6637514058	0.207042942
212	0.6638367267	0.2070166724
213	0.664051519	0.206950525
214	0.66428791	0.2068777015
215	0.6644450829	0.2068292681
216	0.6645979805	0.2067821412
217	0.6646903725	0.2067536585
218	0.6648461576	0.206705624
219	0.6649797765	0.2066644152
220	0.6652349334	0.2065857007
221	0.6653780171	0.2065415471
222	0.6656257464	0.2064650789
223	0.6658618179	0.2063921829
224	0.6660434572	0.2063360773
225	0.6662897659	0.206259972
226	0.6664496233	0.2062105636
227	0.666817215	0.2060969043
228	0.6671614543	0.2059904087
229	0.6672024716	0.2059777158
230	0.6672794957	0.2059538782
231	0.6675608461	0.2058667819
232	0.6679272914	0.2057532878
233	0.6681517999	0.205683723
234	0.6684308642	0.205597221
235	0.6689295392	0.2054425553
236	0.6692607648	0.2053397602
237	0.6695143909	0.2052610131
238	0.6696943515	0.2052051197
239	0.6698927905	0.2051434695
240	0.6700820378	0.2050846576
241	0.6703293734	0.2050077685
242	0.6705096855	0.2049516967
243	0.6706828039	0.2048978475
244	0.6710630916	0.2047795077
245	0.671260728	0.2047179793
246	0.6713934701	0.2046766434
247	0.6717348062	0.2045703131
248	0.6720536104	0.2044709518
249	0.6722308938	0.2044156772
250	0.672391614	0.2043655538
251	0.6726433208	0.2042870301
252	0.6728259534	0.2042300362
253	0.6728851885	0.2042115473
254	0.6730863049	0.2041487611
255	0.6732312834	0.2041034885
256	0.6735438346	0.2040058537
257	0.6738009049	0.2039255149
258	0.6738958789	0.2038958259
259	0.6740712979	0.2038409784
260	0.6744144969	0.203733629
261	0.6745165663	0.2037016918
262	0.6747048362	0.2036427695
263	0.6748174792	0.2036075079
264	0.6750205392	0.2035439266
265	0.6751195573	0.2035129153
266	0.67515332	0.2035023402
267	0.675319859	0.2034501688
268	0.6753501282	0.203440685
269	0.6754459305	0.2034106657
270	0.6756117024	0.2033587112
271	0.6757278339	0.2033223066
272	0.6757490052	0.2033156691
273	0.675847684	0.2032847294
274	0.6759576947	0.2032502311
275	0.6761266841	0.2031972263
276	0.6762306631	0.2031646056
277	0.6763684925	0.2031213572
278	0.676585432	0.2030532667
279	0.6767475535	0.203002367
280	0.6768126658	0.2029819207
281	0.67703203	0.2029130218
282	0.677192868	0.2028624901
283	0.6773194367	0.2028227163
284	0.6774960078	0.2027672163
285	0.6776026718	0.2027336823
286	0.6776698396	0.2027125625
287	0.6777685604	0.2026815175
288	0.6778925245	0.2026425275
289	0.6780881731	0.2025809754
290	0.6782599779	0.2025269093
291	0.6783187255	0.2025084185
292	0.6784031893	0.2024818304
293	0.678518619	0.2024454891
294	0.6785783807	0.2024266714
295	0.6787820846	0.2023625164
296	0.6790298089	0.20228447
297	0.6793360564	0.2021879441
298	0.6793547949	0.2021820364
299	0.6794439279	0.2021539331
300	0.6796008413	0.2021044495
301	0.6796990891	0.2020734603
302	0.6799616579	0.2019906178
303	0.6800049841	0.2019769448
304	0.6802002136	0.2019153222
305	0.680579924	0.2017954157
306	0.680665297	0.2017684465
307	0.6808165681	0.2017206512
308	0.6809307678	0.2016845615
309	0.681040819	0.2016497766
310	0.6812823428	0.2015734151
311	0.6814129478	0.2015321102
312	0.6816572364	0.2014548292
313	0.6817810014	0.2014156647
314	0.6818625086	0.2013898682
315	0.6820108426	0.2013429129
316	0.6822038618	0.2012817962
317	0.6822892202	0.2012547627
318	0.682366628	0.2012302441
319	0.6825193627	0.2011818573
320	0.6827382346	0.2011124977
321	0.6829615273	0.2010417125
322	0.683180602	0.2009722403
323	0.6833569936	0.2009162861
324	0.6835779055	0.2008461874
325	0.6837220147	0.2008004461
326	0.6839140591	0.2007394737
327	0.6840127898	0.2007081204
